city,district,neighborhood,square_meter,gold_gr,type,total_gold
İstanbul,Bağcılar,Yavuz Selim Mah.,68.0,15.051527166539977,3,1023.5038473247184
İstanbul,Büyükçekmece,Yenimahalle Mah.,501.0,5.290643767838506,3,2650.6125276870916
İstanbul,Silivri,Çeltik Mah.,1766.0,1.9311253152110688,3,3410.3673066627475
İstanbul,Çekmeköy,Ömerli Mah.,326.0,10.666529791609658,3,3477.288712064749
İstanbul,Sultanbeyli,Hamidiye Mah.,567.0,7.174200530698293,3,4067.7717009059324
İstanbul,Pendik,Ballıca Mah.,845.0,3.9598464734911727,0,3346.070270100041
İstanbul,Silivri,Mimar Sinan Mah.,560.0,5.389328866407629,3,3018.0241651882725
İstanbul,Beykoz,Mahmutşevketpaşa Mah.,10753.0,2.0378945232126986,0,21913.47980810615
İstanbul,Arnavutköy,Terkos Mah.,10600.0,1.114118846870158,2,11809.659776823673
İstanbul,Çekmeköy,Koçullu Mah.,223.0,3.4716986887523507,2,774.1888075917742
İstanbul,Şile,Ovacık Mah.,750.0,2.886805723223565,3,2165.1042924176736
İstanbul,Büyükçekmece,Karaağaç Mah.,3900.0,3.8356159958914495,3,14958.902383976652
İstanbul,Çatalca,Ferhatpaşa Mah.,1068.0,0.4324802581608337,2,461.8889157157704
İstanbul,Büyükçekmece,Fatih Mah.,5849.0,9.198078510092335,3,53799.561205530066
İstanbul,Şile,Ahmetli Mah.,410.0,3.2004498040172558,3,1312.184419647075
İstanbul,Küçükçekmece,Yarımburgaz Mah.,601.0,6.768338936615527,3,4067.771700905932
İstanbul,Pendik,Ahmet Yesevi Mah.,139.0,6.608122976639945,3,918.5290937529523
İstanbul,Beykoz,Dereseki Mah.,700.0,7.873106517882449,0,5511.174562517715
İstanbul,Arnavutköy,Dursunköy Mah.,300.0,1.0060080550627575,3,301.8024165188273
İstanbul,Büyükçekmece,Güzelce Mah.,424.0,6.499026606742588,3,2755.5872812588573
İstanbul,Çatalca,Kestanelik Mah.,610.0,4.517356198785012,3,2755.5872812588573
İstanbul,Ümraniye,Armağanevler Mah.,745.0,21.135856423845503,3,15746.2130357649
İstanbul,Arnavutköy,Hadımköy Mah.,261.0,5.204494439776889,3,1358.3730487817681
İstanbul,Arnavutköy,Mustafa Kemal Paşa Mah.,176.0,27.958474850434833,3,4920.69157367653
İstanbul,Çekmeköy,Koçullu Mah.,300.0,3.455418971737297,2,1036.625691521189
İstanbul,Arnavutköy,Tayakadın Mah.,805.0,1.304034205860447,3,1049.74753571766
İstanbul,Şile,Göçe Mah.,3524.0,0.4840634919242898,2,1705.8397455411973
İstanbul,Çatalca,Bahşayiş Mah.,18052.0,0.7123536069433488,2,12859.407312541332
İstanbul,Çatalca,İhsaniye Mah.,9650.0,0.5643072892782757,2,5445.56534153536
İstanbul,Şile,Çataklı Mah.,3498.0,0.22882575642787756,3,800.4324959847157
İstanbul,Kartal,Yunus Mah.,281.0,10.273329975884572,3,2886.8057232235647
İstanbul,Çatalca,Subaşı Mah.,940.0,3.2106640055194386,2,3018.0241651882725
İstanbul,Sancaktepe,Yenidoğan Mah.,215.0,9.154775020793545,3,1968.2766294706123
İstanbul,Eyüpsultan,Akpınar Mah.,125.0,29.392931000094478,1,3674.11637501181
İstanbul,Şile,Kızılca Mah.,1817.0,2.166512525559287,2,3936.5532589412246
İstanbul,Arnavutköy,Hadımköy Mah.,261.0,5.203992692630986,3,1358.2420927766873
İstanbul,Arnavutköy,Terkos Mah.,307.0,0.68387461610271,2,209.94950714353197
İstanbul,Şile,Çengilli Mah.,125.0,1.7845708107200218,3,223.07135134000274
İstanbul,Beykoz,Riva Mah.,5020.0,7.44965258166168,3,37397.255959941635
İstanbul,Arnavutköy,Yassıören Mah.,35000.0,1.3121844196470749,2,45926.45468764762
İstanbul,Sultanbeyli,Battalgazi Mah.,210.0,5.623647512773178,3,1180.9659776823673
İstanbul,Şile,Bucaklı Mah.,977.0,1.007306361039208,1,984.1383147353062
İstanbul,Silivri,Fener Mah.,1800.0,0.5102939409738624,2,918.5290937529522
İstanbul,Arnavutköy,Haraççı Mah.,700.0,7.535312757281873,3,5274.718930097311
İstanbul,Çatalca,Karacaköy Merkez Mah.,350.0,0.8997836020437084,2,314.924260715298
İstanbul,Avcılar,Firuzköy Mah.,465.0,10.158847119848321,3,4723.863910729469
İstanbul,Şile,İsaköy Mah.,558.0,1.3051296647027357,1,728.2623529041265
İstanbul,Şile,Ağva Merkez Mah.,364.0,5.515500445219848,3,2007.6421620600247
İstanbul,Silivri,Balaban Mah.,2600.0,1.9178079979457248,3,4986.300794658884
İstanbul,Başakşehir,Kayabaşı Mah.,257.0,13.275017475028772,3,3411.679491082394
İstanbul,Esenyurt,Akçaburgaz Mah.,3601.0,9.984407969544531,1,35953.853098329855
İstanbul,Büyükçekmece,Karaağaç Mah.,1050.0,1.1997114693916113,0,1259.697042861192
İstanbul,Adalar,Burgazada Mah.,5300.0,4.926633540859838,1,26111.15776655714
İstanbul,Çatalca,İnceğiz Mah.,1165.0,1.1713920999424532,2,1364.671796432958
İstanbul,Sultanbeyli,Necip Fazıl Mah.,211.0,5.684059523968846,0,1199.3365595574264
İstanbul,Beykoz,Kılıçlı Mah.,2036.0,2.9002111436207447,3,5904.829888411837
İstanbul,Arnavutköy,Hadımköy Mah.,261.0,5.20348993997978,3,1358.1108743347224
İstanbul,Çatalca,Çiftlikköy Mah.,1050.0,1.012256552299172,2,1062.8693799141306
İstanbul,Sultanbeyli,Necip Fazıl Mah.,174.0,6.485509200554508,3,1128.4786008964843
İstanbul,Fatih,Cibali Mah.,120.0,9.841383147353062,1,1180.9659776823673
