,city,district,neighborhood,square_meter,gold_gr,type,total_gold
650,İstanbul,Sancaktepe,Fatih Mah.,286.0,5.50566889362409,3,1574.62130357649
652,İstanbul,Tuzla,Tepeören Mah.,447.0,2.6243688392941498,2,1173.092871164485
654,İstanbul,Silivri,Seymen Mah.,500.0,2.020764006256495,3,1010.3820031282476
655,İstanbul,Silivri,Fevzipaşa Mah.,650.0,2.927180628443475,1,1902.6674084882584
657,İstanbul,Sarıyer,Maden Mah.,460.0,2.852574825319728,1,1312.1844196470747
658,İstanbul,Ümraniye,İnkılap Mah.,367.0,13.229107228049529,3,4855.082352694177
660,İstanbul,Şile,Kurfallı Mah.,780.0,1.2078825811623073,0,942.1484133065997
662,İstanbul,Silivri,Gümüşyaka Mah.,300.0,2.7555872812588573,3,826.6761843776573
663,İstanbul,Çatalca,Celepköy Mah.,260.0,0.9084353674479748,2,236.19319553647347
664,İstanbul,Şile,Şuayipli Mah.,400.0,0.8857244832617756,2,354.2897933047102
668,İstanbul,Arnavutköy,İslambey Mah.,226.0,7.257657188313467,3,1640.2305245588436
670,İstanbul,Beykoz,Tokatköy Mah.,235.0,2.9035570136871445,0,682.335898216479
671,İstanbul,Çatalca,Subaşı Mah.,480.0,3.0617636458431745,3,1469.6465500047238
672,İstanbul,Kartal,Yakacık Çarşı Mah.,4262.0,0.6841776977554778,3,2915.9653478338464
673,İstanbul,Şile,Bucaklı Mah.,1150.0,2.339111356762177,2,2689.978060276504
674,İstanbul,Ümraniye,Dumlupınar Mah.,220.0,13.718291659946692,3,3018.024165188272
675,İstanbul,Şile,Karabeyli Mah.,650.0,0.5955298519936724,1,387.0944037958871
677,İstanbul,Silivri,Gümüşyaka Mah.,1000.0,2.3619319553647347,3,2361.9319553647347
678,İstanbul,Çatalca,Elbasan Mah.,980.0,0.9372745854621964,2,918.5290937529523
679,İstanbul,Beykoz,Riva Mah.,612.0,6.003458129104264,3,3674.11637501181
680,İstanbul,Şile,Hasanlı Mah.,1000.0,2.165104292417673,3,2165.1042924176736
681,İstanbul,Şile,Yazımanayır Mah.,1300.0,0.7570294728733125,2,984.1383147353062
682,İstanbul,Arnavutköy,Yeniköy Mah.,266.0,2.3678515843255483,2,629.8485214305958
683,İstanbul,Şile,Sahilköy Mah.,873.0,1.9539974175729635,0,1705.839745541197
684,İstanbul,Sarıyer,Gümüşdere Mah.,252.0,4.165664824276428,2,1049.74753571766
685,İstanbul,Arnavutköy,Yassıören Mah.,433.0,1.0000481720174013,2,433.0208584835348
687,İstanbul,Şile,Çavuş Mah.,687.0,4.956504467225851,3,3405.1185689841595
688,İstanbul,Silivri,İsmetpaşa Mah.,1004.0,0.2587774054682478,2,259.8125150901208
690,İstanbul,Şile,Göçe Mah.,847.0,0.5751457683518023,2,487.1484657939766
691,İstanbul,Arnavutköy,Bolluca Mah.,311.0,6.582018310769893,3,2047.0076946494369
692,İstanbul,Tuzla,Mescit Mah.,160.0,5.412760731044184,3,866.0417169670694
693,İstanbul,Sancaktepe,Paşaköy Mah.,3200.0,1.5582189983309014,2,4986.300794658884
694,İstanbul,Silivri,İsmetpaşa Mah.,725.0,0.5882206019107576,2,426.4599363852993
695,İstanbul,Fatih,Yedikule Mah.,201.0,12.403733320046976,3,2493.150397329442
697,İstanbul,Çatalca,Başak Mah.,3572.0,1.102058583130242,2,3936.5532589412246
698,İstanbul,Arnavutköy,Mustafa Kemal Paşa Mah.,900.0,6.998316904784399,3,6298.48521430596
699,İstanbul,Silivri,Danamandıra Mah.,2800.0,0.3608507154029456,2,1010.3820031282476
700,İstanbul,Ataşehir,Ferhatpaşa Mah.,922.0,12.381783569337909,3,11416.00445092955
701,İstanbul,Beykoz,Riva Mah.,317.0,10.348457568194595,3,3280.461049117687
702,İstanbul,Silivri,Hürriyet Mah.,1075.0,2.1605269049072766,3,2322.5664227753223
704,İstanbul,Şile,Bucaklı Mah.,1248.0,1.7558878051367106,2,2191.347980810615
705,İstanbul,Küçükçekmece,İnönü Mah.,284.0,16.171286861847754,3,4592.645468764762
706,İstanbul,Beylikdüzü,Dereağzı Mah.,237.0,5.924208139334896,3,1404.0373290223704
707,İstanbul,Çatalca,Gökçeali Mah.,210.0,1.0934870163725623,1,229.6322734382381
708,İstanbul,Çatalca,Çiftlikköy Mah.,2140.0,1.0423894922430037,2,2230.7135134000278
709,İstanbul,Sarıyer,Maden Mah.,716.0,3.665319607952723,0,2624.36883929415
710,İstanbul,Sarıyer,Kireçburnu Mah.,216.0,6.682420655610104,2,1443.4028616117823
711,İstanbul,Şile,Karacaköy Mah.,510.0,3.087492752110764,3,1574.6213035764897
713,İstanbul,Şile,Çataklı Mah.,1275.0,0.7409982605065835,2,944.772782145894
714,İstanbul,Şile,Göksu Mah.,450.0,0.4373948065490249,2,196.82766294706124
715,İstanbul,Arnavutköy,Dursunköy Mah.,278.0,1.180021960114276,3,328.04610491176874
716,İstanbul,Çatalca,Subaşı Mah.,940.0,3.210664005519438,2,3018.0241651882725
720,İstanbul,Şile,Soğullu Mah.,650.0,0.8074981043982,3,524.87376785883
721,İstanbul,Silivri,Sancaktepe Mah.,270.0,0.7532910557233208,1,203.38858504529665
722,İstanbul,Silivri,İsmetpaşa Mah.,595.0,0.4190168735007466,2,249.31503973294423
723,İstanbul,Çatalca,Örencik Mah.,202.0,0.87695493392255,2,177.1448966523551
