iter	Passed	Remaining
253	19082	56045
254	19151	55952
255	19223	55868
256	19296	55787
257	19366	55698
258	19434	55602
259	19508	55525
260	19581	55442
261	19649	55348
262	19717	55254
263	19787	55164
264	19858	55077
265	19930	54995
266	19999	54905
267	20068	54812
268	20141	54732
269	20207	54634
270	20276	54545
271	20348	54462
272	20417	54370
273	20488	54287
274	20561	54208
275	20628	54112
276	20697	54022
277	20768	53937
278	20837	53848
279	20907	53762
280	20978	53678
281	21046	53585
282	21113	53492
283	21180	53398
284	21249	53309
285	21317	53218
286	21384	53127
287	21457	53046
288	21526	52959
289	21594	52870
290	21663	52780
291	21731	52691
292	21825	52664
293	21893	52573
294	21961	52483
295	22029	52394
296	22097	52303
297	22167	52221
298	22248	52162
299	22318	52076
300	22391	51998
301	22459	51908
302	22532	51832
303	22602	51747
304	22672	51663
305	22742	51578
306	22810	51491
307	22879	51405
308	22952	51328
309	23020	51240
310	23145	51276
311	23242	51252
312	23318	51182
313	23400	51123
314	23508	51121
315	23603	51091
316	23676	51012
317	23745	50926
318	23818	50847
319	23891	50768
320	23960	50682
321	24028	50593
322	24098	50509
323	24168	50426
324	24241	50347
325	24314	50270
326	24383	50184
327	24452	50098
328	24523	50015
329	24592	49930
330	24660	49843
331	24732	49762
332	24808	49691
333	24879	49609
334	24952	49533
335	25025	49454
336	25096	49374
337	25175	49308
338	25252	49237
339	25324	49159
340	25396	49080
341	25468	49000
342	25550	48941
343	25624	48865
344	25721	48833
345	25799	48765
346	25873	48690
347	25966	48649
348	26070	48629
349	26154	48572
350	26229	48498
351	26316	48446
352	26413	48412
353	26485	48332
354	26556	48251
355	26624	48163
356	26696	48083
357	26768	48003
358	26843	47928
359	26912	47845
360	26988	47771
361	27059	47691
362	27167	47673
363	27235	47587
364	27302	47499
365	27371	47413
366	27439	47328
367	27507	47240
368	27574	47153
369	27644	47070
370	27712	46984
371	27799	46929
372	27867	46844
373	27936	46760
374	28007	46678
375	28083	46606
376	28157	46530
377	28239	46467
378	28336	46429
379	28428	46382
380	28500	46303
381	28567	46217
382	28636	46131
383	28702	46044
384	28771	45959
385	28844	45881
386	28922	45813
387	28995	45735
388	29072	45664
389	29149	45592
390	29221	45513
391	29291	45431
392	29358	45344
393	29427	45262
394	29497	45180
395	29564	45093
396	29630	45006
397	29700	44923
398	29768	44838
399	29837	44756
400	29905	44671
401	29976	44591
402	30043	44506
403	30114	44426
404	30194	44360
405	30264	44279
406	30335	44199
407	30405	44118
408	30476	44037
409	30638	44089
410	30714	44017
411	30795	43950
412	30882	43893
413	30959	43821
414	31030	43742
415	31104	43666
416	31180	43593
417	31286	43561
418	31367	43494
419	31453	43435
420	31551	43392
421	31676	43386
422	31777	43346
423	31919	43362
424	32003	43298
425	32072	43215
426	32148	43141
427	32253	43105
428	32324	43024
429	32405	42955
430	32476	42874
431	32556	42805
432	32625	42722
433	32693	42637
434	32762	42553
435	32833	42472
436	32905	42393
437	32978	42315
438	33048	42232
439	33120	42152
440	33190	42071
441	33261	41990
442	33330	41907
443	33402	41827
444	33471	41744
445	33541	41663
446	33613	41584
447	33681	41500
448	33749	41416
449	33821	41337
450	33891	41256
451	33961	41175
452	34036	41099
453	34123	41038
454	34192	40955
455	34258	40869
456	34326	40785
457	34395	40703
458	34468	40626
459	34540	40547
460	34614	40471
461	34685	40391
462	34756	40311
463	34826	40230
464	34893	40145
465	34965	40067
466	35036	39987
467	35105	39906
468	35175	39825
469	35244	39743
470	35313	39662
471	35384	39582
472	35453	39500
473	35522	39419
474	35591	39337
475	35720	39322
476	35795	39247
477	35867	39169
478	35941	39092
479	36014	39016
480	36085	38936
481	36162	38863
482	36273	38826
483	36354	38757
484	36436	38690
485	36505	38609
486	36576	38529
487	36655	38458
488	36727	38380
489	36797	38299
490	36866	38218
491	36937	38138
492	37009	38060
493	37077	37978
494	37145	37896
495	37214	37815
496	37283	37733
497	37349	37649
498	37419	37569
499	37488	37488
500	37559	37409
501	37628	37328
502	37698	37249
503	37769	37170
504	37854	37104
505	37929	37029
506	38003	36954
507	38072	36873
508	38141	36792
509	38212	36714
510	38283	36634
511	38353	36555
512	38429	36481
513	38496	36399
514	38561	36315
515	38634	36238
516	38704	36159
517	38775	36080
518	38843	35999
519	38911	35918
520	38982	35840
521	39051	35759
522	39118	35677
523	39191	35601
524	39259	35520
525	39329	35441
526	39398	35361
527	39470	35283
528	39540	35204
529	39610	35125
530	39678	35045
531	39748	34966
532	39818	34888
533	39888	34808
534	39956	34728
535	40026	34649
536	40095	34570
537	40164	34490
538	40235	34412
539	40302	34331
540	40372	34253
541	40440	34172
542	40510	34094
543	40578	34014
544	40646	33934
545	40715	33855
546	40786	33777
547	40854	33697
548	40922	33617
549	40989	33536
550	41059	33458
551	41128	33379
552	41198	33301
553	41268	33223
554	41337	33144
555	41406	33065
556	41477	32988
557	41547	32910
558	41616	32832
559	41685	32752
560	41759	32678
561	41829	32600
562	41898	32521
563	41967	32442
564	42040	32367
565	42110	32289
566	42179	32211
567	42249	32133
568	42317	32054
569	42385	31975
570	42454	31896
571	42525	31819
572	42594	31741
573	42662	31662
574	42737	31588
575	42807	31510
576	42886	31440
577	43026	31413
578	43130	31361
579	43269	31333
580	43360	31270
581	43466	31218
582	43539	31142
583	43608	31063
584	43675	30983
585	43748	30907
586	43821	30831
587	43891	30753
588	43959	30674
589	44031	30598
590	44101	30520
591	44174	30444
592	44448	30506
593	44525	30433
594	44595	30355
595	44665	30276
596	44741	30202
597	44817	30128
598	44887	30050
599	44975	29983
600	45058	29914
601	45128	29835
602	45206	29762
603	45274	29683
604	45344	29605
605	45412	29525
606	45480	29445
607	45548	29366
608	45617	29288
609	45685	29208
610	45755	29130
611	45825	29052
612	45901	28978
613	45979	28905
614	46050	28828
615	46120	28750
616	46190	28672
617	46257	28592
618	46328	28515
619	46397	28437
620	46465	28358
621	46539	28282
622	46608	28204
623	46676	28125
624	46747	28048
625	46817	27970
626	46883	27891
627	46951	27812
628	47026	27737
629	47095	27659
630	47164	27581
631	47235	27504
632	47302	27425
633	47371	27346
634	47440	27268
635	47509	27190
636	47579	27113
637	47650	27036
638	47718	26958
639	47789	26881
640	47857	26803
641	47926	26725
642	47996	26648
643	48066	26570
644	48134	26492
645	48203	26415
646	48274	26338
647	48343	26260
648	48412	26183
649	48479	26104
650	48547	26026
651	48616	25948
652	48682	25869
653	48748	25790
654	48816	25712
655	48887	25635
656	48955	25558
657	49026	25481
658	49092	25403
659	49159	25324
660	49229	25247
661	49296	25169
662	49366	25092
663	49435	25015
664	49502	24937
665	49574	24861
666	49643	24784
667	49715	24709
668	49868	24673
669	49968	24611
670	50039	24535
671	50108	24457
672	50175	24379
673	50245	24302
674	50316	24226
675	50384	24148
676	50452	24071
677	50520	23993
678	50587	23915
679	50656	23838
680	50726	23761
681	50795	23684
682	50863	23607
683	50929	23528
684	51002	23453
685	51069	23375
686	51136	23298
687	51207	23221
688	51278	23145
689	51345	23068
690	51414	22991
691	51483	22914
692	51562	22842
693	51630	22765
694	51696	22686
695	51765	22610
696	51834	22533
697	51903	22456
698	51971	22379
699	52043	22304
700	52110	22227
701	52180	22150
702	52248	22073
703	52317	21997
704	52390	21922
705	52460	21846
706	52527	21768
707	52598	21693
708	52665	21615
709	52733	21539
710	52842	21478
711	52911	21402
712	52982	21326
713	53051	21250
714	53121	21174
715	53190	21098
716	53258	21021
717	53329	20945
718	53404	20871
719	53474	20795
720	53545	20720
721	53613	20643
722	53683	20567
723	53756	20492
724	53825	20416
725	53893	20340
726	53966	20265
727	54037	20189
728	54106	20113
729	54174	20037
730	54247	19962
731	54316	19886
732	54388	19811
733	54458	19735
734	54528	19660
735	54599	19584
736	54667	19508
737	54736	19432
738	54808	19357
739	54877	19281
740	54948	19206
741	55019	19130
742	55089	19055
743	55157	18978
744	55225	18902
745	55293	18826
746	55362	18750
747	55434	18675
748	55500	18599
749	55567	18522
750	55635	18446
751	55705	18371
752	55779	18296
753	55847	18220
754	55917	18145
755	55989	18070
756	56056	17994
757	56123	17918
758	56192	17842
759	56261	17766
760	56331	17691
761	56401	17616
762	56472	17541
763	56542	17466
764	56613	17391
765	56682	17315
766	56749	17239
767	56819	17164
768	56887	17088
769	56956	17013
770	57026	16937
771	57096	16862
772	57165	16787
773	57233	16711
774	57303	16636
775	57372	16561
776	57444	16486
777	57521	16413
778	57590	16338
779	57659	16262
780	57725	16186
781	57792	16110
782	57860	16035
783	57932	15961
784	58000	15885
785	58068	15809
786	58139	15735
787	58209	15660
788	58277	15584
789	58347	15510
790	58416	15435
791	58493	15361
792	58563	15287
793	58656	15218
794	58757	15151
795	58848	15081
796	58934	15010
797	59036	14944
798	59183	14888
799	59269	14817
800	59360	14747
801	59439	14674
802	59508	14599
803	59576	14523
804	59687	14458
805	59771	14386
806	59849	14313
807	59979	14252
808	60076	14183
809	60185	14117
810	60278	14047
811	60357	13974
812	60434	13900
813	60537	13832
814	60614	13759
815	60691	13685
816	60771	13612
817	60850	13538
818	60935	13466
819	61019	13394
820	61095	13320
821	61177	13247
822	61255	13174
823	61337	13101
824	61415	13027
825	61505	12956
826	61588	12883
827	61671	12811
828	61753	12738
829	61831	12664
830	61913	12591
831	61999	12519
832	62102	12450
833	62191	12378
834	62272	12305
835	62352	12231
836	62436	12159
837	62534	12088
838	62630	12018
839	62716	11946
840	62798	11872
841	62880	11799
842	62958	11725
843	63041	11652
844	63124	11579
845	63220	11508
846	63329	11439
847	63426	11368
848	63512	11296
849	63596	11222
850	63688	11151
851	63779	11079
852	63882	11009
853	63962	10935
854	64052	10862
855	64165	10794
856	64245	10720
857	64371	10653
858	64452	10579
859	64538	10506
860	64620	10432
861	64697	10357
862	64773	10282
863	64852	10208
864	64933	10134
865	65015	10060
866	65103	9987
867	65181	9912
868	65258	9837
869	65339	9763
870	65426	9690
871	65507	9615
872	65606	9544
873	65715	9473
874	65811	9401
875	65898	9328
876	65979	9253
877	66061	9179
878	66145	9105
879	66238	9032
880	66321	8958
881	66405	8884
882	66494	8810
883	66578	8736
884	66664	8662
885	66747	8588
886	66828	8513
887	66907	8438
888	66983	8363
889	67063	8288
890	67142	8213
891	67225	8139
892	67336	8068
893	67462	7998
894	67574	7927
895	67669	7854
896	67762	7780
897	67853	7707
898	67978	7637
899	68108	7567
900	68226	7496
901	68354	7426
902	68459	7353
903	68601	7285
904	68705	7212
905	68867	7145
906	68966	7071
907	69055	6996
908	69137	6921
909	69215	6845
910	69296	6769
911	69382	6694
912	69459	6618
913	69549	6544
914	69628	6468
915	69725	6394
916	69823	6319
917	69910	6244
918	70017	6171
919	70104	6096
920	70201	6021
921	70306	5947
922	70425	5875
923	70560	5803
924	70690	5731
925	70780	5656
926	70880	5581
927	70975	5506
928	71067	5431
929	71160	5356
930	71252	5280
931	71339	5205
932	71427	5129
933	71525	5054
934	71614	4978
935	71711	4903
936	71803	4827
937	71903	4752
938	71988	4676
939	72071	4600
940	72163	4524
941	72253	4448
942	72337	4372
943	72420	4296
944	72511	4220
945	72593	4143
946	72679	4067
947	72777	3992
948	72917	3918
949	73083	3846
950	73187	3770
951	73273	3694
952	73360	3617
953	73436	3540
954	73519	3464
955	73610	3387
956	73709	3311
957	73807	3235
958	73903	3159
959	74006	3083
960	74198	3011
961	74313	2935
962	74414	2859
963	74501	2782
964	74613	2706
965	74700	2629
966	74788	2552
967	74889	2475
968	74972	2398
969	75059	2321
970	75154	2244
971	75243	2167
972	75324	2090
973	75423	2013
974	75508	1936
975	75596	1858
976	75694	1781
977	75779	1704
978	75867	1627
979	75958	1550
980	76051	1472
981	76130	1395
982	76214	1318
983	76312	1240
984	76412	1163
985	76495	1086
986	76578	1008
987	76666	931
988	76754	853
989	76845	776
990	76926	698
991	77006	621
992	77094	543
993	77171	465
994	77265	388
995	77349	310
996	77442	233
997	77533	155
998	77628	77
999	77717	0
