iter	RMSE
156	1365.90076
157	1365.791926
158	1364.311178
159	1362.275721
160	1360.731209
161	1358.614018
162	1358.012921
163	1356.700417
164	1356.265991
165	1354.960185
166	1354.678748
167	1354.404925
168	1353.169608
169	1351.052069
170	1349.456408
171	1347.216816
172	1346.177185
173	1345.060488
174	1343.538542
175	1341.006917
176	1340.247791
177	1337.887928
178	1337.099051
179	1335.66759
180	1334.300419
181	1333.767608
182	1332.051
183	1330.618133
184	1330.14218
185	1329.569723
186	1328.709803
187	1327.948271
188	1326.084196
189	1324.767634
190	1324.517138
191	1323.687274
192	1321.832209
193	1321.413807
194	1320.862498
195	1319.564839
196	1319.260591
197	1317.340094
198	1316.512562
199	1314.636728
200	1314.068692
201	1313.118538
202	1312.202291
203	1311.477367
204	1310.087325
205	1309.637524
206	1309.02722
207	1308.754755
208	1306.343462
209	1302.780625
210	1301.64157
211	1300.442433
212	1298.377244
213	1297.552154
214	1296.828642
215	1295.956075
216	1293.278067
217	1292.151908
218	1289.51304
219	1286.668454
220	1284.770823
221	1283.578089
222	1281.854794
223	1278.430488
224	1277.009066
225	1275.685602
226	1274.754049
227	1274.550921
228	1273.551029
229	1273.093741
230	1272.396024
231	1271.828097
232	1270.222849
233	1269.654205
234	1268.630043
235	1267.611383
236	1266.761469
237	1265.71817
238	1265.092361
239	1263.313039
240	1263.127342
241	1261.711691
242	1260.7325
243	1259.74583
244	1257.967368
245	1256.939178
246	1256.390767
247	1256.012417
248	1252.97766
249	1251.7566
250	1250.971035
251	1250.00942
252	1248.588146
253	1247.858376
254	1244.675996
255	1241.949081
256	1241.291915
257	1238.677505
258	1238.18128
259	1236.339466
260	1234.518118
261	1232.152738
262	1231.620629
263	1231.355485
264	1228.461782
265	1227.414397
266	1226.40718
267	1225.533535
268	1224.437271
269	1222.718511
270	1222.269563
271	1219.482696
272	1216.099969
273	1213.808681
274	1212.280105
275	1211.907741
276	1211.030928
277	1210.699119
278	1209.468852
279	1208.725652
280	1208.080229
281	1207.289627
282	1206.127352
283	1205.356241
284	1203.565266
285	1202.854478
286	1202.152495
287	1201.656327
288	1199.884301
289	1197.485831
290	1196.722551
291	1196.016249
292	1193.826236
293	1192.451138
294	1189.43051
295	1188.086007
296	1187.941922
297	1186.982583
298	1185.298482
299	1184.939965
300	1184.126804
301	1182.950952
302	1181.193251
303	1179.537576
304	1178.393028
305	1177.405128
306	1176.846135
307	1174.804958
308	1174.529692
309	1173.290221
310	1172.011495
311	1171.637776
312	1169.946635
313	1167.88373
314	1166.853696
315	1165.080676
316	1164.161757
317	1163.320451
318	1162.143229
319	1161.653045
320	1161.102925
321	1160.661373
322	1160.14396
323	1158.704738
324	1157.023878
325	1156.531132
326	1156.277574
327	1155.817694
328	1154.358952
329	1153.587261
330	1152.827595
331	1152.320812
332	1151.734935
333	1150.767749
334	1149.887873
335	1147.71375
336	1147.273679
337	1146.198422
338	1144.963347
339	1143.825726
340	1143.31135
341	1142.87045
342	1140.979552
343	1139.855644
344	1139.24419
345	1138.102198
346	1137.84225
347	1136.481209
348	1134.775521
349	1132.93509
350	1132.023315
351	1131.371615
352	1130.612749
353	1130.123131
354	1129.858127
355	1127.860783
356	1126.71185
357	1126.07252
358	1125.420534
359	1124.816057
360	1123.725745
361	1123.497322
362	1123.271348
363	1122.525182
364	1121.602126
365	1121.208388
366	1119.391254
367	1118.457622
368	1117.911354
369	1117.252338
370	1116.244541
371	1115.754618
372	1114.441786
373	1112.861599
374	1111.207769
375	1109.785307
376	1109.356194
377	1107.575673
378	1107.192605
379	1105.969281
380	1105.169353
381	1104.151049
382	1103.214905
383	1101.87245
384	1099.316998
385	1098.744746
386	1098.388879
387	1097.995588
388	1097.313631
389	1096.329852
390	1095.498526
391	1095.123772
392	1094.526019
393	1094.241606
394	1093.56677
395	1093.019405
396	1092.452681
397	1092.257158
398	1090.833169
399	1090.641678
400	1090.410064
401	1089.703194
402	1089.235383
403	1089.05462
404	1088.380231
405	1087.23661
406	1085.007228
407	1084.561948
408	1084.019111
409	1083.328329
410	1082.978108
411	1082.071472
412	1081.19222
413	1079.663905
414	1078.780279
415	1076.678924
416	1076.277498
417	1075.828698
418	1074.960416
419	1074.078429
420	1073.582251
421	1073.034867
422	1071.764753
423	1071.244624
424	1070.684515
425	1070.067045
426	1069.557404
427	1069.319943
428	1068.775778
429	1068.173045
430	1067.737531
431	1066.826224
432	1066.303974
433	1065.393389
434	1063.421505
435	1061.321635
436	1060.800253
437	1059.707805
438	1058.830801
439	1058.396033
440	1057.814707
441	1057.164314
442	1056.010693
443	1055.706583
444	1054.995377
445	1054.404275
446	1054.028417
447	1053.469648
448	1050.148078
449	1049.913957
450	1049.582159
451	1048.585491
452	1047.415209
453	1045.84357
454	1043.180626
455	1041.965386
456	1041.373213
457	1040.505565
458	1039.130282
459	1038.557642
460	1038.080165
461	1036.937169
462	1036.415911
463	1035.866954
464	1035.541948
465	1034.674949
466	1033.228454
467	1032.795445
468	1032.271424
469	1031.448969
470	1031.114246
471	1030.081694
472	1029.647401
473	1029.325512
474	1028.546122
475	1027.508358
476	1026.036867
477	1024.997095
478	1024.547358
479	1023.922318
480	1023.441106
481	1022.900924
482	1022.649147
483	1021.714811
484	1020.510222
485	1019.812044
486	1019.499956
487	1019.306859
488	1018.423089
489	1018.185498
490	1017.271716
491	1016.08416
492	1014.991239
493	1014.36034
494	1012.957637
495	1011.245523
496	1009.699107
497	1009.479204
498	1008.101079
499	1006.866159
500	1006.606933
501	1005.865641
502	1005.498847
503	1004.981273
504	1004.589612
505	1004.281712
506	1003.553711
507	1002.957376
508	1002.900127
509	1002.49225
510	1001.098326
511	1000.670606
512	1000.126116
513	998.6920371
514	997.8017737
515	996.9874053
516	996.365645
517	995.7041875
518	993.8047211
519	992.408139
520	991.4110409
521	990.2797721
522	989.1873039
523	988.1876664
524	987.5224223
525	986.4412429
526	986.1103033
527	985.8838913
528	985.3236987
529	984.4739126
530	983.464567
531	982.1469065
532	981.4160459
533	981.0102748
534	980.0859812
535	979.8209637
536	979.4140384
537	978.8950806
538	978.2588571
539	976.1444928
540	975.6552857
541	974.6686772
542	974.364175
543	974.0997663
544	973.9768938
545	973.8035204
546	973.3782347
547	973.1022227
548	972.2683674
549	971.9520005
550	971.3681715
551	969.6846086
552	969.4572283
553	969.2813425
554	969.1025884
555	968.9137436
556	968.7770533
557	968.2723528
558	967.2154262
559	966.9349764
560	966.7568727
561	965.9538288
562	965.6836893
563	964.8086159
564	963.1144976
565	961.7085331
566	960.9305412
567	960.0788421
568	958.771742
569	958.3977346
570	958.2243108
571	957.3509533
572	957.0870127
573	956.825291
574	955.7929466
575	955.2607733
576	954.7470229
577	954.5328671
578	954.1850555
579	953.8286646
580	953.5156103
581	952.7226196
582	952.2731157
583	951.1043069
584	950.4654869
585	949.4677585
586	948.4684394
587	946.8460079
588	946.3980965
589	945.4667813
590	944.7299375
591	943.4523984
592	943.1401269
593	942.7998877
594	942.2906349
595	942.2127567
596	941.9931493
597	940.5199918
598	939.4097871
599	939.3771989
600	938.6815745
601	937.4565623
602	936.2479329
603	935.6065263
604	935.0782377
605	934.9051092
606	934.2704985
607	934.0888648
608	933.7195823
609	932.3018986
610	932.1667766
611	931.0171323
612	930.1928234
613	928.8657996
614	927.9506674
615	927.7930486
616	926.9328084
617	925.739829
618	925.1769196
619	924.570739
620	924.3360968
621	923.6480895
622	922.9502968
623	922.54588
624	921.641907
625	921.4778918
626	921.1854431
627	920.3042256
628	919.0433026
629	918.8789273
630	918.1895559
631	918.0099724
632	917.865917
633	917.4182616
634	917.2095537
635	917.0635179
636	916.4604435
637	915.6702272
638	915.3905661
639	914.8763887
640	914.2021773
641	913.3884937
642	912.8298899
643	912.6727095
644	911.9193183
645	911.3415249
646	910.5171233
647	910.2810305
648	909.6932588
649	909.1138677
650	908.782184
651	908.1689616
652	908.0993588
653	907.8539755
654	907.3444115
655	905.2294211
656	904.9998905
657	904.9423917
658	903.6619584
659	903.0539189
660	902.6428527
661	901.66468
662	901.4544974
663	900.7073471
664	900.463524
665	900.0473374
666	899.8005116
667	899.3249299
668	898.7186297
669	898.1157227
670	896.986888
671	896.4297968
672	896.0252835
673	895.9547217
674	895.400858
675	894.7302947
676	894.025195
677	893.9553531
678	893.7076811
679	893.6505771
680	893.2551491
681	892.1704013
682	891.6604585
683	891.2456348
684	890.6019608
685	890.3823929
686	889.8371018
687	889.7773144
688	889.7254664
689	889.0691535
690	888.1974255
691	887.366193
692	887.1902477
693	886.9249683
694	886.3727664
695	886.0608944
696	885.4428459
697	885.2875971
698	884.7501936
699	883.8551542
700	882.8841621
701	882.1568292
702	882.0689849
703	881.1746294
704	880.9406042
705	880.7352024
706	880.1970416
707	879.846261
708	879.5021966
709	879.1944054
710	878.5775434
711	877.64433
712	877.5676001
713	876.9857678
714	876.915957
715	876.6565665
716	875.7131649
717	874.7693933
718	874.3193994
719	873.556322
720	873.0139502
721	872.4393004
722	871.923898
723	871.7603208
724	871.3464433
725	870.2688285
726	869.6536792
727	869.3194779
728	868.9508167
729	867.9315728
730	867.1783194
731	866.6790671
732	866.2032339
733	865.8303748
734	865.2899812
735	864.7121846
736	864.2993368
737	863.9525626
738	862.9319627
739	862.5486373
740	862.4129
741	861.8785039
742	861.6195499
743	861.0253435
744	860.3517896
745	860.2268697
746	859.1333596
747	858.6684377
748	858.6000588
749	857.9363339
750	857.6900396
751	857.6085813
752	857.5048317
753	857.1810383
754	855.9794483
755	855.7909221
756	855.5688116
757	855.3415632
758	855.1210591
759	854.7862552
760	853.6893409
761	853.4844204
762	853.1540121
763	851.8231721
764	851.3000904
765	850.8237804
766	850.3442952
767	850.2725973
768	850.117693
769	849.6651201
770	849.4314246
771	849.108478
772	848.9479521
773	848.4928385
774	848.1966644
775	847.6801676
776	847.0865902
777	846.3854203
778	846.0667025
779	845.6463806
780	845.4903758
781	845.4344386
782	844.7969548
783	844.5878021
784	844.2187315
785	842.7965059
786	842.4217223
787	842.4160217
788	841.9977772
789	841.7299779
790	841.3184262
791	840.9606185
792	840.6765072
793	840.4092432
794	840.2151691
795	840.0154998
796	838.9751055
797	838.6154561
798	837.9690776
799	837.7667004
800	837.345343
801	837.0931349
802	836.878776
803	836.4384565
804	836.1852264
805	835.889885
806	835.6623652
807	834.9282149
808	833.9890513
809	833.9536544
810	833.3742518
811	832.5803904
812	832.4361851
813	832.2779495
814	832.0120986
815	831.2252654
816	830.1916736
817	829.8483941
818	829.6397684
819	829.4237381
820	829.4056074
821	829.2852814
822	828.8323562
823	828.665872
824	828.1994475
825	827.8399966
826	827.5683381
827	827.3147646
828	826.3087443
829	825.0918949
830	824.2817226
831	823.7499894
832	823.4824998
833	821.8470638
834	821.5574246
835	821.4025342
836	821.0741658
837	821.0390199
838	820.4490897
839	820.2093451
840	819.9657397
841	819.8282299
842	819.7396586
843	819.3586
844	818.3302523
845	818.2834176
846	818.03269
847	817.7728316
848	817.3525032
849	816.7922303
850	816.194447
851	815.3385546
852	814.2741449
853	814.0212475
854	813.9863498
855	813.7771417
856	813.1140968
857	811.5798572
858	811.3040509
859	810.8760411
860	810.3998605
861	810.2159896
862	809.4533758
863	809.1874041
864	808.8798009
865	808.5635381
866	808.3138357
867	808.2136107
868	808.1093999
869	807.8715307
870	807.6725963
871	807.5640048
872	807.0890414
873	806.6395736
874	806.3569394
875	805.2745344
876	805.0809861
877	804.7033472
878	804.0639993
879	803.2765812
880	802.6476087
881	802.5495768
882	802.2089812
883	801.9601836
884	801.4774951
885	801.177259
886	799.7959931
887	799.5653095
888	799.0796895
889	798.6733761
890	798.45955
891	798.1178137
892	796.9293621
893	795.8792436
894	795.6682678
895	795.1521004
896	794.9298093
897	794.7480986
898	794.4619113
899	793.5111838
900	793.1192853
901	792.6667463
902	791.9912021
903	791.7689048
904	791.5309577
905	791.348122
906	790.8802541
907	790.0807779
908	789.8350401
909	789.7042571
910	789.5304742
911	788.7157007
912	787.9371709
913	786.5973045
914	786.2064168
915	785.9823691
916	785.5030169
917	785.4315559
918	785.2446055
919	784.8255285
920	784.4342525
921	784.0949034
922	784.0577733
923	783.3296769
924	782.7169145
925	782.3336627
926	782.1319065
927	781.8954733
928	781.7796919
929	781.6487258
930	781.6273659
931	780.6783224
932	780.3943717
933	779.8754145
934	779.6905932
935	779.1489676
936	779.0284728
937	778.6381058
938	778.3815981
939	777.7374375
940	776.7359569
941	776.6243424
942	776.5778559
943	776.1800852
944	775.9934609
945	775.6214833
946	775.503728
947	775.1650511
948	774.6129127
949	774.3431998
950	774.0704179
951	773.975235
952	773.3107736
953	772.7569517
954	772.6919033
955	772.6476902
956	771.8765429
957	771.8118248
958	771.6305176
959	771.2578903
960	771.0581776
961	770.9591263
962	770.2979936
963	770.1969833
964	769.1215452
965	768.4622059
966	768.4303495
967	768.315812
968	767.9651505
969	767.7626545
970	767.6893066
971	767.2718668
972	766.3741389
973	765.7646325
974	765.6850041
975	765.3804152
976	765.3223809
977	765.1806859
978	765.0830239
979	764.747013
980	764.6260587
981	764.2975067
982	763.6697956
983	763.6403142
984	763.2957317
985	762.8968674
986	762.7819239
987	762.2695739
988	762.24609
989	761.4779804
990	760.7126205
991	760.2997584
992	759.9621763
993	759.9339258
994	758.9070175
995	758.483503
996	758.1056704
997	757.4718219
998	756.91072
999	756.8633891
